study_number,source_id,Citation,Identification_Method,Inclusion_Status,PublicationTypee,PublicationYear,DetectionYear,Decade,TemporalPeriod,method,method 2,Location,Country,Latitude,Longitude,Ecoregion_ID,Ecoregion_Description,er_short,n_Scat,n_stomach,n_intestine,n_Observation,human-influenced diet,seasonality,data_level,data_extracted,language,interactions_section,time_to_access_days,access_method,notes,Author_contact,Random_value,Validation,pdf_acess
1,Bailey 1928,"Bailey, V. 1928. Animal life of the Carlsbad Cavern. Monographs of the American Society of Mammalogists 3:1–192.",expert curated,include,Society,1928,,1920,1920s - 1940s,,observation,"Carlsbad Caverns National Park, New Mexico, USA",USA,32.12539812,-104.5649045,13.1,Upper Gila Mountains,,unclear,n/a,n/a,unclear,,,,yes,english,,0,Biodiversity Heritage Library,,,39,,https://paperpile.com/app/p/fe84ce23-dd2f-04de-af4d-cbfe24943c5d
2,Grinnell et al. 1937,"Grinnell J, Dixon JS, Linsdale JM. Fur-bearing mammals of California: their natural history, systematic status and relations to man. 1937. University of California, Berkeley",expert curated,include,Faunal Survey,1937,,1930,1920s - 1940s,,observation,"northwestern California, USA",USA,40.97971221,-123.0519442,6.2,Western Cordillera,,n/a,n/a,n/a,unclear,,,,yes,english,,9,Interlibrary Loan,,,30,,https://paperpile.com/app/p/95193c83-040b-092f-9087-5e878a4a6382
3,Martin et al. 1961,"Martin AC, Zim HS, Nelson AL. American wildlife & plants: a guide to wildlife food habits: the use of trees, shrubs, weeds, and herbs by birds and mammals of the United States. Courier Corporation; 1961.",expert curated,include,Faunal Survey,1951,,1950,1950s - 1960s ,whole specimens,organ,"Texas, USA",USA,31,-100,9.4,South Central Semi-Arid Prairies,,n/a,252,n/a,n/a,no,yes,summary,yes,english,,0,UGA Hardcopy,republished of original from 1951; This is likely a repeat of Taylor 1954. We need to confirm this. ,,19,,https://paperpile.com/app/p/a7a1df1b-efbe-089d-8149-de15f43275fd
4,Taylor 1954,"Taylor, WP. 1954. Food habits and notes on life history of the ring-tailed cat in Texas. J. Mammal. 35:55-63.",systematic search,include,Society,1954,,1950,1950s - 1960s ,whole specimens,organ,"Edward's Plateau, Texas, USA",USA,31.0004467,-105.4831081,10.2,Warm Deserts,,n/a,175,395,unclear,,,summary,yes,english,,0,JSTOR,"175 stomachs, 171 small intestines, 224 colons. Processed at Patuxent Research Site. Shannon X provided digital copies of orignial data.",,28,,https://paperpile.com/app/p/2b404365-d138-01b0-acab-f6246fbf5f47
5,Wood 1954,Wood JE. 1954. Food habits of furbearers of the upland Post Oak Region in Texas. J. Mammal. 35:406-415.,systematic search,include,Society,1954,,1950,1950s - 1960s ,fresh scat; whole specimens,combination,"Post Oak Woods, eastern Texas, USA",USA,32.64171822,-96.05100672,8.3,Southeastern USA Plains,,19,n/a,10,n/a,,,,yes,english,,,,,,26,,https://paperpile.com/app/p/e5599a04-2f97-0228-8e9e-7a159d23bde7
6,Davis 1960,Davis WB. 1960. The mammals of Texas. Texas Game and Fish Comm. Bull. 41:1-252,expert curated,include,Faunal Survey,1960,,1960,1950s - 1960s ,whole specimens,organ,"Central Texas, USA",USA,30.2855,-97.6654,9.4,South Central Semi-Arid Prairies,,n/a,100,n/a,n/a,no,yes,summary,yes,english,"page 77, habits",1,Interlibrary Loan,,,5,,https://paperpile.com/app/p/60277a4c-e9d9-0b9d-a19d-168150db1847
7,Burns 1961,"Burns RD. Recent Additions to the Mammal Collection of the Stovall Museum. InProceedings of the Oklahoma Academy of Science 1961 Feb 5 (Vol. 41, pp. 70-72).",expert curated,include,Faunal Survey,1961,,1960,1950s - 1960s ,roadkill collection,organ,"State Highway 9 about five miles west of Norman in McClain County, Oklahoma",USA,35.19541433,-97.59889125,9.4,South Central Semi-Arid Prairies,,n/a,1,n/a,n/a,,,,yes,english,,0,University Library,,,12,,https://paperpile.com/app/p/cb8ad181-fcc7-07d2-a28e-8a738160aafa
8,White and Lloyd 1962,"White, CM and GD Lloyd. Predation on peregrines by ringtails. Auk 79:277.",expert curated,include,Management Research,1962,,1960,1950s - 1960s ,,observation,"San Rafell Swell, Emery County, Utah, USA",USA,38.8235985,-110.6861385,10.1,Cold Deserts,,n/a,n/a,n/a,1,,,,yes,english,,,,location provided through pers. comm. with the author,,13,,https://paperpile.com/app/p/f06c70c6-1c86-04b4-8605-8e221d67d332
9,Bradley & Hansen 1965,"Bradley WG, Hansen CG. Observations on the distribution of the ring-tailed cat in southern Nevada. The Southwestern Naturalist. 1965 Nov 15;10(4):310-1.",expert curated,include,Society,1965,,1960,1950s - 1960s ,,observation,"Basin Spring in the Spring Range, Nevada, USA",USA,40.64541749,-115.5310456,10.1,Cold Deserts,,n/a,n/a,n/a,1,,,,yes,english,,0,JSTOR,,,33,,https://paperpile.com/app/p/7f32a07a-d716-0c94-ba06-069944a33bea
10,Layton 1973,"Layton DR. An ecological study of the rock squirrel, Spermophilus variegatus, in Brewster County, Texas. Thesis. Sul Ross State University.",expert curated,include,Collegiate Research,1973,,1970,1970s - 1990s ,fresh scat,scat,"Woodward Ranch and King Terry Ranch, Brewster County, Texas, USA",USA,30.167879,-103.5975873,10.2,Warm Deserts,W. Deserts,20,n/a,n/a,n/a,no,no,summary,yes,english,,6,Interlibrary Loan,microfilm delevired from library,,9,,https://paperpile.com/app/p/69511775-5c57-0dd1-9df2-0e24ddebdc57
11,Trapp 1973,Trapp GR. Comparative behavioral ecology of two southwest Utah carnivores: Bassariscus astutus and Urocyon cinereoargenteus. Doctoral Dissertation. The University of Wisconsin-Madison; 1973.,expert curated,include,Collegiate Research,1973,,1970,1970s - 1990s ,fresh scat,scat,"Zion Canyon, Zion National Park, Utah, USA",USA,37.16564446,-113.0120368,10.1,Cold Deserts,,227,n/a,n/a,n/a,yes,,,yes,english,,0,University Library,,,34,,https://paperpile.com/app/p/a3e9ce98-f50b-0fca-878f-0670e9d05000
12,Lemoine 1977,"Lemoine, J., 1977. Some aspects of ecology and behavior of ringtails (Bassariscus astutus) in St. Helena. Thesis.  Antioch College.",expert curated,include,Collegiate Research,1977,,1970,1970s - 1990s ,fresh scat; author account,combination,"Sugar Loaf, Napa County, California, USA",USA,38.556691,-122.536495,11.1,Mediterranean California,,26,n/a,n/a,several,,yes,summary,yes,english,Appendix C; ,7,Interlibrary Loan,,,20,,https://paperpile.com/app/p/8e297014-86c0-035e-b970-bded39d95d45
13,Toweill & Treer 1977,"Toweill DE, Treer JG. 1977. Food habits of ringtails in the Edwards Plateau region of Texas. J. Mammal. 58:660-663.",systematic search,include,Society,1977,,1970,1970s - 1990s ,fresh scat,scat,"Kerr Management Area, Kerr County, Texas, USA",USA,30.0882623,-99.5019952,9.4,Cold Deserts,,182,n/a,n/a,n/a,,,,yes,english,,0,JSTOR,,,29,,https://paperpile.com/app/p/43803098-38d0-0844-8ccb-43194c90a612
14,Trapp 1978,Trapp GR. Comparative behavioral ecology of ringtail and gray fox in southwestern Utah. Carnivore. 1978 Jan 1;1(May):3-2.,systematic search,iterative publishing,,1978,,1970,1970s - 1990s ,fresh scat,scat,"Zion National Park, Utah, USA",USA,37.3220096,-113.1833198,10.1,Cold Deserts,,,,,,,,,,english,,,,,,,,https://paperpile.com/app/p/a3e9ce98-f50b-0fca-878f-0670e9d05000
15,Koch & Brody 1981,"Koch D, Brody A. 1981. Investigation of the ringtail (Bassariscus astutus) in a portion of the Geysers-Calistoga known geothermal resource area. California Energy Commission.",expert curated,include,Management Report,1981,,1980,1970s - 1990s ,fresh scat,scat,"The Geysers - Calistoga Known Geothermal Resource Area, California, USA",USA,38.77588333,-122.7553926,11.1,Mediterranean California,,41,n/a,n/a,n/a,,,,yes,english,,4,Interlibrary Loan,,,14,,https://paperpile.com/app/p/344e9d85-197d-08e8-8484-50eca6422e09
16,Mead & van Devender 1981,"Mead JI, Van Devender TR. Late Holocene diet of Bassariscus astutus in the Grand Canyon, Arizona. Journal of Mammalogy. 1981 May 1;62(2):439-42.",systematic search,include,Society,1981,,1980,1970s - 1990s ,fossilized scat,scat,"Vulture Cave, Grand Canyon National Park, Arizona, USA",USA,36.02799672,-113.9815428,10.2,Warm Deserts,,540,n/a,n/a,n/a,,,,yes,english,,0,JSTOR,,,40,,https://paperpile.com/app/p/c987a960-5cc2-0126-8e94-cf62b6a75040
