interaction_id,source_id,pop_id,ReportedCommonName,ReportedScientificName,method,count_sample,count_dietitems,percent_FO,percent_relativeFO,percent_weight,percent_volume,via,percent_IV,HarmonizedScientificName,study_specificity,life-stage,winter,spring,summer,autumn,location_of_interaction,notes
int_1067,Ackerson 2001,Ackerson 2001,n/a,Mahonia,scat,,not provided,47.3,not provided,not provided,not provided,,n/a,Berberis,unique,seed,no,yes,yes,no,page 29,
int_1074,Ackerson 2001,Ackerson 2001,n/a,Cactaceae,scat,,not provided,47.3,not provided,not provided,not provided,,n/a,Cactaceae,unique,seed,no,yes,yes,no,page 29,
int_1068,Ackerson 2001,Ackerson 2001,n/a,Celtis,scat,,not provided,47.3,not provided,not provided,not provided,,n/a,Celtis,unique,seed,no,yes,yes,no,page 29,
int_1075,Ackerson 2001,Ackerson 2001,n/a,Coleoptera,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Coleoptera,unique,not described,yes,yes,yes,yes,page 29,
int_1081,Ackerson 2001,Ackerson 2001,n/a,Dermaptera,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Dermaptera,unique,not described,no,yes,yes,no,page 29,
int_1061,Ackerson 2001,,Persimmon,n/a,scat,,,100.0,,n/a,n/a,,n/a,Diospyros ,,seed,yes,no,no,yes,page 29,
int_1062,Ackerson 2001,,Persimmon,n/a,scat,,,52.2,,n/a,n/a,,n/a,Diospyros ,,seed,no,yes,yes,no,page 29,
int_1070,Ackerson 2001,Ackerson 2001,n/a,Ephedra,scat,,not provided,47.3,not provided,not provided,not provided,,n/a,Ephedra,unique,seed,no,yes,yes,no,page 29,
int_1085,Ackerson 2001,Ackerson 2001,n/a,Eublapharidae,scat,,not provided,10.4,not provided,not provided,not provided,,n/a,Eublapharidae,unique,not described,no,yes,yes,no,page 29,
int_1072,Ackerson 2001,Ackerson 2001,n/a,Fabaceae,scat,,not provided,47.3,not provided,not provided,not provided,,n/a,Fabaceae,unique,seed,no,yes,yes,no,page 29,
int_1073,Ackerson 2001,Ackerson 2001,n/a,Fabaceae,scat,,not provided,tr,not provided,not provided,not provided,,n/a,Fabaceae,fine scale context,not described,yes,no,no,yes,page 29,
int_1086,Ackerson 2001,Ackerson 2001,n/a,Iguanidae,scat,,not provided,10.4,not provided,not provided,not provided,,n/a,Iguanidae,unique,not described,no,yes,yes,no,page 29,
int_1065,Ackerson 2001,Ackerson 2001,Insect,Insecta,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Insecta,elevated,not described,yes,yes,yes,yes,page 29,
int_1069,Ackerson 2001,Ackerson 2001,n/a,Juniperus,scat,,not provided,47.3,not provided,not provided,not provided,,n/a,Juniperus,unique,seed,no,yes,yes,no,page 29,
int_1079,Ackerson 2001,Ackerson 2001,n/a,Lepidoptera,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Lepidoptera,unique,not described,no,yes,yes,no,page 29,
int_1064,Ackerson 2001,Ackerson 2001,Mammal,Mammalia,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Mammalia,elevated,not described,no,yes,yes,no,page 29,
int_1083,Ackerson 2001,Ackerson 2001,n/a,Muridae,scat,,not provided,37.9,not provided,not provided,not provided,,n/a,Muridae,unique,not described,no,yes,yes,no,page 29,
int_1084,Ackerson 2001,Ackerson 2001,n/a,Muridae,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Muridae,fine scale context,not described,yes,no,no,yes,page 29,
int_1077,Ackerson 2001,Ackerson 2001,n/a,Neuroptera,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Neuroptera,unique,not described,yes,yes,yes,yes,page 29,
int_1076,Ackerson 2001,Ackerson 2001,n/a,Orthoptera,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Orthoptera,unique,not described,yes,yes,yes,yes,page 29,
int_1060,Ackerson 2001,,Plant material,n/a,scat,,,70.0,,n/a,n/a,,n/a,Plantae,,not described,unknown,unknown,unknown,unknown,Table 5,
int_1063,Ackerson 2001,,Miscellaneous vegetation,Plantae ,scat,,,100.0,,n/a,n/a,,n/a,Plantae ,,seed,yes,no,no,yes,page 29,
int_1066,Ackerson 2001,Ackerson 2001,Reptile,Reptilia,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Reptilia,elevated,not described,no,yes,yes,no,page 29,
int_1071,Ackerson 2001,Ackerson 2001,n/a,Sapindus,scat,,not provided,47.3,not provided,not provided,not provided,,n/a,Sapindus,unique,seed,no,yes,yes,no,page 29,
int_1082,Ackerson 2001,Ackerson 2001,n/a,Sciuridae,scat,,not provided,37.9,not provided,not provided,not provided,,n/a,Sciuridae,unique,not described,no,yes,yes,no,page 29,
int_1078,Ackerson 2001,Ackerson 2001,n/a,Scorpionida,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Scorpionidae,unique,not described,yes,yes,yes,yes,page 29,
int_1080,Ackerson 2001,Ackerson 2001,n/a,Spirobolida,scat,,not provided,n/a,not provided,not provided,not provided,,n/a,Spirobolida,unique,not described,no,yes,yes,no,page 29,
int_0011,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Barberry,Mahonia sp.,scat,,,,,,,,n/a,Berberis,unique,,,,,,Table 4; page 177 - 178,
int_0001,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Cactus,Cataceae,scat,,,,,,,,n/a,Cactacea,unique,,,,,,Table 4; page 177 - 178,
int_0002,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Hackberry,Celtis sp. ,scat,,,,,,,,n/a,Celtis,unique,,,,,,Table 4; page 177 - 178,
int_0003,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Beetle,Coleoptera,scat,,,,,,,,n/a,Coleoptera,unique,,,,,,Table 4; page 177 - 178,
int_0004,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Earwig,Dermaptera,scat,,,,,,,,n/a,Dermaptera,unique,,,,,,Table 4; page 177 - 178,
int_0015,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Persimmons,Persimmons,scat,,,,,,,,n/a,Diospyros,unique,seed,,,,,Table 4; page 177 - 178,
int_0005,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Jointfir,Ephedra sp. ,scat,,,,,,,,n/a,Ephedra,unique,,,,,,Table 4; page 177 - 178,
int_0006,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Eublepharis gecko,Eublepharidae,scat,,,,,,,,n/a,Eublepharidae,unique,,,,,,Table 4; page 177 - 178,
int_0007,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Peas,Fabaceae,scat,,,,,,,,n/a,Fabaceae,unique,,,,,,Table 4; page 177 - 178,
int_0008,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Iguana,Iguanidae,scat,,,,,,,,n/a,Iguanidae,unique,,,,,,Table 4; page 177 - 178,
int_0009,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Juniper,Juniperus,scat,,,,,,,,n/a,Juniperus,unique,,,,,,Table 4; page 177 - 178,
int_0010,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Butterfly,Lepidoptera,scat,,,,,,,,n/a,Lepidoptera,unique,,,,,,Table 4; page 177 - 178,
int_0012,Ackerson and Harveson 2006,Ackerson and Harveson 2006,Rat,Muridae,scat,,,,,,,,n/a,Muridae,unique,,,,,,Table 4; page 177 - 178,
