pop_cat_id,pop_id,source_id,sample_type,reported_category,reported_value,season,metric_verbatim,value_location,notes
popcat_001,Wood 1952b,Wood 1952,digestive tract,Mammals,62.2,annual,volume percentage of annual food,Table XXX,
popcat_002,Wood 1952b,Wood 1952,digestive tract,Birds,6.7,annual,volume percentage of annual food,Table XXX,
popcat_003,Wood 1952b,Wood 1952,digestive tract,Insects,2.9,annual,volume percentage of annual food,Table XXX,
popcat_004,Wood 1952b,Wood 1952,digestive tract,Other Invertebrates,0.1,annual,volume percentage of annual food,Table XXX,
popcat_005,Wood 1952b,Wood 1952,digestive tract,Plants,27.6,annual,volume percentage of annual food,Table XXX,
popcat_006,Wood 1952a,Wood 1952,scat,Mammals,23.3,annual,volume percentage of annual food,Table XXX,
popcat_007,Wood 1952a,Wood 1952,scat,Birds,31.9,annual,volume percentage of annual food,Table XXX,
popcat_008,Wood 1952a,Wood 1952,scat,Cold-blooded Vertebrates,0.2,annual,volume percentage of annual food,Table XXX,
popcat_009,Wood 1952a,Wood 1952,scat,Animal (unident.),tr,annual,volume percentage of annual food,Table XXX,
popcat_010,Wood 1952a,Wood 1952,scat,Insects,11.0,annual,volume percentage of annual food,Table XXX,
popcat_011,Wood 1952a,Wood 1952,scat,Other Invertebrates,4.4,annual,volume percentage of annual food,Table XXX,
popcat_012,Wood 1952a,Wood 1952,scat,Plants,28.2,annual,volume percentage of annual food,Table XXX,
popcat_013,Wood 1952a,Wood 1952,scat,Unidentified,0.2,annual,volume percentage of annual food,Table XXX,
popcat_014,Wood 1952b,Wood 1952,digestive tract,Mammals,62.2,winter,volume percentage of annual food,Table XXX,
popcat_015,Wood 1952b,Wood 1952,digestive tract,Birds,6.7,winter,volume percentage of annual food,Table XXX,
popcat_016,Wood 1952b,Wood 1952,digestive tract,Insects,2.9,winter,volume percentage of annual food,Table XXX,
popcat_017,Wood 1952b,Wood 1952,digestive tract,Other Invertebrates,0.1,winter,volume percentage of annual food,Table XXX,
popcat_018,Wood 1952b,Wood 1952,digestive tract,Plants,27.6,winter,volume percentage of annual food,Table XXX,
popcat_019,Wood 1952a,Wood 1952,scat,Mammals,12.2,winter,volume percentage of annual food,Table XXX,
popcat_020,Wood 1952a,Wood 1952,scat,Birds,45.2,winter,volume percentage of annual food,Table XXX,
popcat_021,Wood 1952a,Wood 1952,scat,Animal (unident.),tr,winter,volume percentage of annual food,Table XXX,
popcat_022,Wood 1952a,Wood 1952,scat,Insects,1.8,winter,volume percentage of annual food,Table XXX,
popcat_023,Wood 1952a,Wood 1952,scat,Plants,39.4,winter,volume percentage of annual food,Table XXX,
