HarmonizedScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species
Abies,EOL,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,x
Abies religiosa,not recognized,species,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies religiosa
Acacia schaffneri,EOL,species,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,Acacia schaffneri
Acalypha,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,x
Acalypha indica,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Acalypha,Acalypha indica
Acer,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,x
Acer macrophyllum,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer macrophyllum
Acheta domesticus,ITIS,species,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,Acheta,Acheta domesticus
Acrididae,ITIS,family,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,x,x
Actitis macularius,ITIS,species,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis macularius
Agave havardiana,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Aspargales,Asparagaceae,Agave,Agave havardiana
Agave lecheguilla,ITIS,species,Plantae,Tracheophyta,Magnoliopsida,Aspargales,Asparagaceae,Agave,Agave lecheguilla
Aidemona,ITIS,genus,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Aidemona,x
Aizoaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Aizoaceae,x,x
Alnus,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,x
Alydidae,ITIS,family,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,x,x
Alydus,ITIS,genus,Animalia,Arthropoda,Insecta,Hemiptera,Alydidae,Alydus,x
Amara,ITIS,genus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,x
Amaranthaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,x,x
Amblypygi,ITIS,order,Animalia,Arthropoda,Euchelicerata,Amblypygi,x,x,x
Amelanchier,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amelanchier,x
Ammospermophillus leucurus,ITIS,species,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Ammospermophillus,Ammospermophillus leucurus
