MonthYear,Season,ID_Complete,Latrine_Type,Latrine_Site,Latrine_Name,Segment_ID,Fragment_ID,Fragment_Type,Fragment_Description,Fragment_Weight,Common_Name,Reported_Name,Scientific_Name,Taxonomic_Level,Kingdom,Phylum,Class,Order,Family,Genus,Species,Photo
July2019,Summer,X,Building,MY_Delivery_July2019,S11,S11_S01_July2019,S11_S01_F2_July2019,Vertebrate,Hair,0.189,Mammal,Mammalia,,Class,Animalia,Chordata,Mammalia,n/a,n/a,n/a,n/a,
July2019,Summer,X,Building,MY_Delivery_July2019,S11,S11_S02_July2019,S11_S02_F2_July2019,Vertebrate,Hair,0.1551,Mammal,Mammalia,,Class,Animalia,Chordata,Mammalia,n/a,n/a,n/a,n/a,
July2019,Summer,X,Building,MY_Delivery_July2019,S11,S11_S03_July2019,S11_S03_F1_July2019,Vertebrate,Hair,0.1393,Mammal,Mammalia,,Class,Animalia,Chordata,Mammalia,n/a,n/a,n/a,n/a,
July2019,Summer,X,Building,MY_Delivery_July2019,S11,S11_S04_July2019,S11_S04_F2_July2019,Vertebrate,Hair,0.2086,Mammal,Mammalia,,Class,Animalia,Chordata,Mammalia,n/a,n/a,n/a,n/a,
July2019,Summer,X,Building,MY_Delivery_July2019,S11,S11_S06_July2019,S11_S06_F2_July2019,Vertebrate,Hair,0.1421,Mammal,Mammalia,,Class,Animalia,Chordata,Mammalia,n/a,n/a,n/a,n/a,
July2019,Summer,X,Building,MY_Delivery_July2019,S11,S11_S07_July2019,S11_S07_F1_July2019,Vertebrate,Hair,0.1191,Mammal,Mammalia,,Class,Animalia,Chordata,Mammalia,n/a,n/a,n/a,n/a,
July2019,Summer,X,Building,MY_Delivery_July2019,S11,S11_S09_July2019,S11_S09_F2_July2019,Vertebrate,Hair,0.1636,Mammal,Mammalia,,Class,Animalia,Chordata,Mammalia,n/a,n/a,n/a,n/a,
July2019,Summer,X,Building,MY_Delivery_July2019,S11,S11_S10_July2019,S11_S10_F3_July2019,Vertebrate,Hair,0.2636,Mammal,Mammalia,,Class,Animalia,Chordata,Mammalia,n/a,n/a,n/a,n/a,
July2019,Summer,X,Building,MY_Delivery_July2019,S12,S12_S01_July2019,S12_S01_F1_July2019,Vertebrate,Avian,0.0797,Bird,Aves,,Class,Animalia,Chordata,Aves,n/a,n/a,n/a,n/a,
July2019,Summer,X,Building,MY_Delivery_July2019,S12,S12_S01_July2019,S12_S01_F2_July2019,Vertebrate,Hair,0.074,Mammal,Mammalia,,Class,Animalia,Chordata,Mammalia,n/a,n/a,n/a,n/a,
