interaction_id,No,sample_id,sample_type,verbatim_text,ReportedName,reported_percentage,ScientificName,taxon_authority,taxon_rank,life-stage,notes
di_001,M39506,M39506s,stomach,"Aves: red-feathered Fringillidae, Richmondena cardinalis, or Pyrrhuloxia ",Aves,20,,,,,
di_002,M39506,M39506s,stomach,Mammalia: Sciurus niger,Sciurus niger,80,,,,,
di_003,M39506,M39506s,stomach,Bassariscus digital parts,,present,,,,,
di_004,M39507,M39507s,stomach,Bassariscus hair,Bassariscus,part of 0.5 cc,,,,,
di_005,M39507,M39507s,stomach,sand,sand,part of 0.5 cc,,,,,
di_006,M39508,M39508s,stomach,"Aves feathers: Fringillidae, Richmondena cardinalis, or Pyrrhuloxia ",Aves,50,,,,,
di_007,M39508,M39508s,stomach,Lacertilia: Sceloporus sp.,Sceloporus sp.,50,,,,,
di_008,M39509,M39509s,stomach,"Aves feathers: Fringillidae, Richmondena, or Pyrrhuloxia",Aves,100,,,,,"Fringillidae, Richmondena, or Pyrrhuloxia "
di_009,M39509,M39509s,stomach,sand,sand,part of 0.5 cc,,,,,
di_010,M39509,M39509s,stomach,wood,wood,part of 0.5 cc,,,,,
di_011,M39510,M39510s,stomach,Centurus aurifrons,Centurus aurifrons,100,,,,,
di_012,M39510,M39510s,stomach,"6 seeds of Celtis sp., possib. secondary",Celtis,trace,,,,seeds,
di_013,M39511,M39511s,stomach,Aves: Richmondena cardinalis,Richmondena cardinalis,,,,,,
di_014,M39511,M39511s,stomach,Celtis sp. fruit,Celtis sp.,,,,,fruit,
di_015,M39512,M39512s,stomach,Rhaphidophorinae,Rhaphidophorinae,50,,,,,
di_016,M39512,M39512s,stomach,Mantidae,Mantidae,15,,,,,
di_017,M39512,M39512s,stomach,Arilus sp. (Reduviidae),Arilus sp.,20,,,,,
di_018,M39512,M39512s,stomach,Phalangida,Phalangida,15,,,,,
di_019,M39512,M39512s,stomach,Plant mat. undet.,Plant,trace,,,,,
di_020,M39568,M39568s,stomach,Aves: Columbidae,Columbidae,100,,,,,
di_021,M39569,M39569s,stomach,Aves: Toxostoma sp.,Toxostoma sp.,100,,,,,
di_022,M39570,M39570s,stomach,Aves: Colaptes auritus,Colaptes auritus,100,,,,,
di_023,M39570,M39570s,stomach,Insecta: Pentamidae,Pentatomidae,trace,,,,,
di_024,M39570,M39570s,stomach,Araneida,Araneida,trace,,,,,
di_025,M39571,M39571s,stomach,Araneida,Araneida,100,,,,,
di_026,M39571,M39571s,stomach,trap debris (wood and sand),debris,trace,,,,,
di_028,M39572,M39572s,stomach,Aves: Zonotrichia albicollis (det. R.E.S.),Zonotrichia albicollis,100,,,,,
di_029,M39572,M39572s,stomach,woody debris,debris,trace,,,,,
di_030,M39573,M39573s,stomach,Aves: prob. Toxostoma sp.,Aves,100,,,,,
di_031,M39573,M39573s,stomach,sand ,sand ,part of 1.0 cc,,,,,
di_032,M39573,M39573s,stomach,Bassariscus digital parts,Bassariscus,part of 1.0 cc,,,,,
di_033,M39574,M39574s,stomach,"Decticinae, near Pediodectes sp.",Decticinae,78,,,,,
di_034,M39574,M39574s,stomach,Conocephalinae,Conocephalinae,2,,,,,
di_035,M39574,M39574s,stomach,Oedipodinae,Oedipodinae,2,,,,,
di_036,M39574,M39574s,stomach,Cyrtacanthacrinae,Cyrtacanthacrinae,1,,,,,
di_037,M39574,M39574s,stomach,Ortoptera eggs,Ortoptera,trace,,,,eggs,
di_038,M39574,M39574s,stomach,1 Scorpionida,Scorpionida,1,,,,,
di_039,M39574,M39574s,stomach,Lepidoptera cocoon,Lepidoptera,1,,,,,
di_040,M39574,M39574s,stomach,2 Insect larvae,Insect,trace,,,,larvae,
di_041,M39574,M39574s,stomach,1 Coleoptera: Eleodes sp. (Tenebrionidae),Eliodes sp.,trace,,,,,
di_042,M39574,M39574s,stomach,1 Arachnida,Arachnida,trace,,,,,
di_043,M39574,M39574s,stomach,1 Chilopoda,Chilopoda,trace,,,,,
di_044,M39574,M39574s,stomach,Arthropod eggs,Arthropod,trace,,,,eggs,
di_045,M39574,M39574s,stomach,"1 Bufo sp., prob woodhousei ",Bufo sp.,9,,,,,
di_046,M39574,M39574s,stomach,1 Eumeces sp.,Eumeces sp. ,2,,,,,
di_047,M39574,M39574s,stomach,1 Sceloporus sp.,Sceloporus sp. ,4,,,,,
di_048,M39574,M39574s,stomach,1 seed: Prunus sp.,Prunus sp.,trace,,,,seed,
di_049,M39574,M39574c,colon,"Decticinae, near Pediodectes sp.",Decticinae,89,,,,,
