interaction_id,source_id,ReportedCommonName,ReportedScientificName,method,ScientificName,taxon_authority,taxon_rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,life-stage
int_0039,Ackerson and Harveson 2006,Barberry,Mahonia sp.,scat,Berberis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,x,
int_0121,Ackerson and Harveson 2006,Cactus,Cataceae,scat,Cactacea,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactacea,x,x,
int_0348,Ackerson and Harveson 2006,Hackberry,Celtis sp. ,scat,Celtis,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Celtis,x,
int_0048,Ackerson and Harveson 2006,Beetle,Coleoptera,scat,Coleoptera,ITIS,order,Animalia,Arthropoda,Insecta,Coleoptera,x,x,x,
int_0256,Ackerson and Harveson 2006,Earwig,Dermaptera,scat,Dermaptera,ITIS,order,Animalia,Arthropoda,Insecta,Dermaptera,x,x,x,
int_0498,Ackerson and Harveson 2006,Persimmons,Persimmons,scat,Diospyros,ITIS,genus,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ebenaceae,Diospyros,x,seed
int_0392,Ackerson and Harveson 2006,Jointfir,Ephedra sp. ,scat,Ephedra,ITIS,genus,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,x,
int_0025,Ackerson and Harveson 2006,Eublepharis gecko,Eublepharidae,scat,Eublepharidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,Eublepharidae,x,x,
int_0492,Ackerson and Harveson 2006,Peas,Fabaceae,scat,Fabaceae,ITIS,family,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,x,x,
int_0135,Ackerson and Harveson 2006,Iguana,Iguanidae,scat,Iguanidae,ITIS,family,Animalia,Chordata,Reptilia,Squamata,x,x,x,
int_0393,Ackerson and Harveson 2006,Juniper,Juniperus,scat,Juniperus,ITIS,genus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,x,
int_0110,Ackerson and Harveson 2006,Butterfly,Lepidoptera,scat,Lepidoptera,ITIS,order,Animalia,Arthropoda,Insecta,Lepidoptera,x,x,x,
int_0535,Ackerson and Harveson 2006,Rat,Muridae,scat,Muridae,ITIS,family,Animalia,Chordata,Mammalia,Rodentia,Muridae,x,x,
