"",".","confidence","matchType","synonym","usageKey","scientificName","rank","status","kingdom","phylum","order","family","genus","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","class","acceptedUsageKey","species","speciesKey"
"1","Alnus sp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Recuvirostra americana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","french mulberries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Orthoptera Blatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Periplaneta americana",98,"EXACT",FALSE,2000152,"Periplaneta americana (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","Arthropoda","Blattodea","Blattidae","Periplaneta",1,54,216,800,5107,1993899,"Insecta",NA,"Periplaneta americana",2000152
"6","Fulica americana",98,"EXACT",FALSE,2474393,"Fulica americana Gmelin, 1789","SPECIES","ACCEPTED","Animalia","Chordata","Gruiformes","Rallidae","Fulica",1,44,212,1493,9342,2474376,"Aves",NA,"Fulica americana",2474393
"7","Neurotrichus gibbsii",98,"EXACT",FALSE,2436208,"Neurotrichus gibbsii (Baird, 1858)","SPECIES","ACCEPTED","Animalia","Chordata","Soricomorpha","Talpidae","Neurotrichus",1,44,359,803,9469,2436207,"Mammalia",NA,"Neurotrichus gibbsii",2436208
"8","Formicidea spp.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Hymenoptera Fam. Formicidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Formicidae",94,"EXACT",FALSE,4342,"Formicidae","FAMILY","ACCEPTED","Animalia","Arthropoda","Hymenoptera","Formicidae",NA,1,54,216,1457,4342,NA,"Insecta",NA,NA,NA
